date,txf_dealer_long_oi,txf_dealer_short_oi,txf_dealer_net_oi,txf_foreigner_long_oi,txf_foreigner_short_oi,txf_foreigner_net_oi,txf_trust_long_oi,txf_trust_short_oi,txf_trust_net_oi,txf_long_oi,txf_short_oi,txf_net_oi,mxf_dealer_long_oi,mxf_dealer_short_oi,mxf_dealer_net_oi,mxf_foreigner_long_oi,mxf_foreigner_short_oi,mxf_foreigner_net_oi,mxf_trust_long_oi,mxf_trust_short_oi,mxf_trust_net_oi,mxf_long_oi,mxf_short_oi,mxf_net_oi,open,high,low,close,volume
2008-05-08,5066,4421,645,27884,39258,-11374,881,5317,-4436,33831,48996,-15165,2000,2394,-394,266,131,135,0,12,-12,2266,2537,-271,8855.0,8903.0,8800.0,8894.0,52607
2008-05-09,2237,5103,-2866,27369,38235,-10866,910,5458,-4548,30516,48796,-18280,1449,2913,-1464,0,248,-248,0,9,-9,1449,3170,-1721,8850.0,8877.0,8766.0,8773.0,57824
2008-05-12,3707,4321,-614,27499,37143,-9644,891,5720,-4829,32097,47184,-15087,1905,2557,-652,401,88,313,0,9,-9,2306,2654,-348,8776.0,8868.0,8756.0,8864.0,46950
2008-05-13,6610,4319,2291,28163,36042,-7879,926,4460,-3534,35699,44821,-9122,3437,2414,1023,649,0,649,0,9,-9,4086,2423,1663,8862.0,9044.0,8851.0,9030.0,62520
2008-05-14,7297,4461,2836,28138,36250,-8112,1026,4002,-2976,36461,44713,-8252,3025,2540,485,566,200,366,0,9,-9,3591,2749,842,9030.0,9088.0,9002.0,9058.0,53252
2008-05-15,9402,4509,4893,31287,38837,-7550,977,3848,-2871,41666,47194,-5528,3495,2522,973,499,0,499,0,9,-9,3994,2531,1463,9088.0,9209.0,9088.0,9182.0,53937
2008-05-16,8968,4579,4389,31883,40543,-8660,1268,3567,-2299,42119,48689,-6570,4058,2935,1123,552,3,549,0,9,-9,4610,2947,1663,9220.0,9286.0,9191.0,9248.0,55311
2008-05-19,10532,5071,5461,30367,42904,-12537,1257,3800,-2543,42156,51775,-9619,2955,2876,79,25,3,22,0,9,-9,2980,2888,92,9269.0,9379.0,9243.0,9370.0,50694
2008-05-20,5114,5460,-346,34277,51290,-17013,1351,4550,-3199,40742,61300,-20558,4590,7329,-2739,0,351,-351,0,8,-8,4590,7688,-3098,9356.0,9388.0,9059.0,9074.0,82888
2008-05-21,4856,5851,-995,32623,49851,-17228,746,4536,-3790,38225,60238,-22013,4546,8508,-3962,12,148,-136,0,8,-8,4558,8664,-4106,9035.0,9089.0,8959.0,8998.0,31585
2008-05-22,3234,5414,-2180,23909,37654,-13745,714,4185,-3471,27857,47253,-19396,615,8487,-7872,158,149,9,0,7,-7,773,8643,-7870,8875.0,9019.0,8865.0,9018.0,56927
2008-05-23,2924,7548,-4624,22548,37485,-14937,793,4542,-3749,26265,49575,-23310,648,9418,-8770,0,506,-506,0,7,-7,648,9931,-9283,9000.0,9027.0,8778.0,8786.0,70602
2008-05-26,3068,8322,-5254,21473,37100,-15627,801,4541,-3740,25342,49963,-24621,920,9893,-8973,0,281,-281,0,12,-12,920,10186,-9266,8736.0,8790.0,8689.0,8699.0,55991
2008-05-27,4028,8679,-4651,21297,37208,-15911,897,4150,-3253,26222,50037,-23815,1038,9358,-8320,0,121,-121,0,7,-7,1038,9486,-8448,8701.0,8785.0,8700.0,8776.0,44115
2008-05-28,3454,9373,-5919,20450,33669,-13219,981,5501,-4520,24885,48543,-23658,1260,9561,-8301,0,695,-695,0,7,-7,1260,10263,-9003,8790.0,8795.0,8625.0,8646.0,65710
2008-05-29,3955,8739,-4784,20333,33014,-12681,970,5610,-4640,25258,47363,-22105,1656,10259,-8603,0,811,-811,0,9,-9,1656,11079,-9423,8729.0,8771.0,8650.0,8720.0,56724
2008-05-30,4168,10045,-5877,22148,32917,-10769,976,6461,-5485,27292,49423,-22131,1920,11294,-9374,0,1092,-1092,0,9,-9,1920,12395,-10475,8765.0,8780.0,8536.0,8648.0,75944
2008-06-02,4974,9762,-4788,22214,32785,-10571,983,6452,-5469,28171,48999,-20828,1840,11355,-9515,0,775,-775,0,9,-9,1840,12139,-10299,8635.0,8709.0,8603.0,8700.0,49486
2008-06-03,4358,11444,-7086,21913,32425,-10512,983,6406,-5423,27254,50275,-23021,1841,12354,-10513,0,1264,-1264,0,9,-9,1841,13627,-11786,8644.0,8657.0,8510.0,8540.0,55854
2008-06-04,4696,11666,-6970,23208,32763,-9555,957,6081,-5124,28861,50510,-21649,1848,11705,-9857,307,1003,-696,0,9,-9,2155,12717,-10562,8540.0,8619.0,8526.0,8592.0,44304
2008-06-05,5296,10470,-5174,22776,31508,-8732,927,5480,-4553,28999,47458,-18459,349,7948,-7599,219,1003,-784,0,9,-9,568,8960,-8392,8571.0,8765.0,8472.0,8725.0,78823
2008-06-06,5300,10119,-4819,23582,31478,-7896,983,6250,-5267,29865,47847,-17982,498,8170,-7672,0,1087,-1087,0,9,-9,498,9266,-8768,8788.0,8798.0,8712.0,8756.0,49247
2008-06-09,3259,11559,-8300,23383,30797,-7414,1035,6342,-5307,27677,48698,-21021,442,9294,-8852,0,1023,-1023,0,17,-17,442,10334,-9892,8520.0,8555.0,8492.0,8529.0,44700
2008-06-10,2527,12483,-9956,22631,27330,-4699,977,6752,-5775,26135,46565,-20430,454,10734,-10280,0,1480,-1480,0,19,-19,454,12233,-11779,8529.0,8565.0,8321.0,8340.0,75224
2008-06-11,2195,13366,-11171,23861,26854,-2993,1040,6579,-5539,27096,46799,-19703,493,11348,-10855,0,1343,-1343,0,19,-19,493,12710,-12217,8365.0,8404.0,8291.0,8316.0,58833
2008-06-12,2654,14408,-11754,25212,27769,-2557,1044,6838,-5794,28910,49015,-20105,1909,11701,-9792,6,1644,-1638,0,19,-19,1915,13364,-11449,8199.0,8204.0,7999.0,8043.0,75487
2008-06-13,2316,14926,-12610,26693,25868,825,914,6474,-5560,29923,47268,-17345,2671,11501,-8830,0,1570,-1570,0,19,-19,2671,13090,-10419,8068.0,8140.0,8002.0,8043.0,62933
2008-06-16,2155,13199,-11044,29416,27113,2303,895,6269,-5374,32466,46581,-14115,2146,10810,-8664,2,1340,-1338,0,19,-19,2148,12169,-10021,8121.0,8191.0,8100.0,8133.0,53114
2008-06-17,2309,13238,-10929,36287,34386,1901,975,6804,-5829,39571,54428,-14857,786,9778,-8992,45,1503,-1458,0,19,-19,831,11300,-10469,8133.0,8177.0,8017.0,8147.0,70641
2008-06-18,2516,15087,-12571,37802,32578,5224,923,6421,-5498,41241,54086,-12845,903,9450,-8547,55,1525,-1470,0,19,-19,958,10994,-10036,8140.0,8259.0,8122.0,8219.0,36474
2008-06-19,1492,7918,-6426,20578,23867,-3289,664,7069,-6405,22734,38854,-16120,146,7101,-6955,7,982,-975,0,13,-13,153,8096,-7943,7980.0,7980.0,7886.0,7890.0,53348
2008-06-20,1564,8222,-6658,20991,23283,-2292,627,7214,-6587,23182,38719,-15537,283,7289,-7006,0,1247,-1247,0,13,-13,283,8549,-8266,7910.0,7937.0,7723.0,7778.0,70635
2008-06-23,2257,8950,-6693,20852,23797,-2945,498,6398,-5900,23607,39145,-15538,817,8249,-7432,0,788,-788,0,13,-13,817,9050,-8233,7660.0,7805.0,7630.0,7754.0,63155
2008-06-24,2594,9278,-6684,21937,24250,-2313,580,7181,-6601,25111,40709,-15598,1108,8884,-7776,0,1012,-1012,0,13,-13,1108,9909,-8801,7715.0,7782.0,7645.0,7693.0,64047
2008-06-25,3497,8585,-5088,22241,27695,-5454,703,6788,-6085,26441,43068,-16627,1471,9518,-8047,0,726,-726,0,13,-13,1471,10257,-8786,7671.0,7759.0,7605.0,7753.0,69319
2008-06-26,3249,8944,-5695,22571,26316,-3745,588,5997,-5409,26408,41257,-14849,1639,10145,-8506,0,1322,-1322,0,13,-13,1639,11480,-9841,7753.0,7798.0,7690.0,7693.0,60885
2008-06-27,3374,11149,-7775,25714,24521,1193,552,6269,-5717,29640,41939,-12299,1615,10082,-8467,145,1356,-1211,0,13,-13,1760,11451,-9691,7381.0,7460.0,7341.0,7416.0,67637
2008-06-30,3047,10829,-7782,25665,26348,-683,702,6524,-5822,29414,43701,-14287,1682,10406,-8724,229,1444,-1215,0,13,-13,1911,11863,-9952,7470.0,7490.0,7382.0,7416.0,51421
2008-07-01,2369,11773,-9404,26524,29541,-3017,937,6435,-5498,29830,47749,-17919,210,8176,-7966,0,1532,-1532,0,13,-13,210,9721,-9511,7410.0,7477.0,7291.0,7291.0,62874
2008-07-02,2401,11148,-8747,25326,30390,-5064,1028,6497,-5469,28755,48035,-19280,207,8741,-8534,262,1508,-1246,0,13,-13,469,10262,-9793,7308.0,7394.0,7245.0,7245.0,74253
